,Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert.Rate,Med.Age,UrbanPop,WorldShare,Latitude,Longitude
121,Costa Rica,5084636,0.0092,46557,100,51060,4200.0,1.8,33,0.8,0.0007,9.972837179000066,-84.19631843899998
122,Liberia,5032469,0.0244,120307,53,96320,-5000.0,4.4,19,0.53,0.0006,6.447342577000029,-9.31038674499996
123,Ireland,4926480,0.0113,55291,72,68890,23604.0,1.8,38,0.63,0.0006,53.17587984600004,-8.14600614699998
124,Central African Republic,4812256,0.0178,84582,8,622980,-40000.0,4.8,18,0.43,0.0006,6.57416257400007,20.485481521000054
125,New Zealand,4814272,0.0082,39170,18,263310,14881.0,1.9,38,0.87,0.0006,-42.28723356399996,172.34343250000006
126,Mauritania,4623535,0.0274,123962,5,1030700,5000.0,4.6,20,0.57,0.0006,20.25950735200007,-10.331488709999974
127,Panama,4300667,0.0161,68328,58,74340,11200.0,2.5,30,0.68,0.0006,8.939604460000055,-79.97292613699994
128,Kuwait,4257495,0.0151,63488,240,17820,39520.0,2.1,37,N.A.,0.0005,29.355337252000027,47.61216588100007
129,Croatia,4110214,-0.0061,-25037,73,55960,-8001.0,1.4,44,0.58,0.0005,45.11867958500005,15.435623834000069
130,Moldova,4035814,-0.0023,-9300,123,32850,-1387.0,1.3,38,0.43,0.0005,47.20102827100004,28.46370618900005
131,Georgia,3990681,-0.0019,-7598,57,69490,-10000.0,2.1,38,0.58,0.0005,32.648324554000055,-83.44453440099994
132,Eritrea,3536285,0.0141,49304,35,101000,-39858.0,4.1,19,0.63,0.0005,15.362796794000076,38.860666913000045
133,Uruguay,3471314,0.0035,11996,20,175020,-3000.0,2,36,0.96,0.0004,-32.79326568999994,-56.02075792399995
134,Bosnia and Herzegovina,3284806,-0.0061,-20181,64,51000,-21585.0,1.3,43,0.52,0.0004,44.168254123000054,17.785249916000055
135,Mongolia,3267320,0.0165,53123,2,1553560,-852.0,2.9,28,0.67,0.0004,46.83469147400007,103.06763313100004
136,Armenia,2962137,0.0019,5512,104,28470,-4998.0,1.8,35,0.63,0.0004,40.293084855000075,44.94022131100007
137,Jamaica,2958567,0.0044,12888,273,10830,-11332.0,2,31,0.55,0.0004,18.157695292000028,-77.31110640499998
138,Qatar,2870922,0.0173,48986,248,11610,40000.0,1.9,32,0.96,0.0004,25.285444965000067,51.19314832400005
139,Albania,2878420,-0.0011,-3120,105,27400,-14000.0,1.6,36,0.63,0.0004,41.13455328400005,20.06420643100006
140,Puerto Rico,2874636,-0.0247,-72555,323,8870,-97986.0,1.2,44,N.A.,0.0004,18.22260649800006,-66.46895343099999
141,Lithuania,2729553,-0.0135,-37338,43,62674,-32780.0,1.7,45,0.71,0.0003,55.33693608100003,23.900396649000072
142,Namibia,2531290,0.0186,46375,3,823290,-4806.0,3.4,22,0.55,0.0003,-22.138976121999974,17.22149898400005
143,Gambia,2402083,0.0294,68962,239,10120,-3087.0,5.3,18,0.59,0.0003,13.448008972000025,-15.380941536999956
144,Botswana,2341649,0.0208,47930,4,566730,3000.0,2.9,24,0.73,0.0003,-22.187290210999947,23.814376269000036
145,Gabon,2214593,0.0245,53155,9,257670,3260.0,4,23,0.87,0.0003,-0.6239040589999263,11.781759891000036
146,Lesotho,2138799,0.008,16981,71,30360,-10047.0,3.2,24,0.31,0.0003,-29.582324937999942,28.24669362800006
147,North Macedonia,2083391,0.0,-85,83,25220,-1000.0,1.5,39,0.59,0.0003,41.610468113000024,21.715233082000054
148,Slovenia,2078881,0.0001,284,103,20140,2000.0,1.6,45,0.55,0.0003,46.119554805000064,14.821760495000035
149,Guinea-Bissau,1958132,0.0245,47079,70,28120,-1399.0,4.5,19,0.45,0.0003,12.010130157000049,-14.984960920999981
